╔════════════════════╦════════════╦══════════╦════════════╗
║File                ║Solver      ║Result    ║Time (s)    ║
║sat4.in             ║Solver2     ║SAT       ║0.023       ║
║sat4.in             ║Solver3     ║UNSAT     ║0.000       ║
║sat5.in             ║Solver2     ║UNSAT     ║0.006       ║
║sat5.in             ║Solver3     ║UNSAT     ║0.000       ║
║sat6.in             ║Solver2     ║SAT       ║0.021       ║
║sat6.in             ║Solver3     ║SAT       ║0.000       ║
║sat7.in             ║Solver2     ║SAT       ║0.017       ║
║sat7.in             ║Solver3     ║UNSAT     ║0.001       ║
║sat8.in             ║Solver2     ║SAT       ║0.018       ║
║sat8.in             ║Solver3     ║UNSAT     ║0.000       ║
║sat9.in             ║Solver2     ║SAT       ║0.015       ║
║sat9.in             ║Solver3     ║UNSAT     ║0.004       ║
║scc1.in             ║Solver2     ║SAT       ║0.011       ║
║scc1.in             ║Solver3     ║UNSAT     ║0.000       ║
║scc2.in             ║Solver2     ║UNSAT     ║0.027       ║
║scc2.in             ║Solver3     ║UNSAT     ║0.000       ║
║sub0.in             ║Solver2     ║SAT       ║0.024       ║
║sub0.in             ║Solver3     ║SAT       ║0.001       ║
║unit0.in            ║Solver2     ║SAT       ║0.017       ║
║unit0.in            ║Solver3     ║SAT       ║0.000       ║
║unit1.in            ║Solver2     ║SAT       ║0.016       ║
║unit1.in            ║Solver3     ║UNSAT     ║0.000       ║
║unit2.in            ║Solver2     ║SAT       ║0.022       ║
║unit2.in            ║Solver3     ║SAT       ║0.000       ║
║unit3.in            ║Solver2     ║SAT       ║0.016       ║
║unit3.in            ║Solver3     ║UNSAT     ║0.000       ║
║unit4.in            ║Solver2     ║UNSAT     ║0.019       ║
║unit4.in            ║Solver3     ║UNSAT     ║0.002       ║
║unit5.in            ║Solver2     ║UNSAT     ║0.012       ║
║unit5.in            ║Solver3     ║UNSAT     ║0.000       ║
║watch0.in           ║Solver2     ║SAT       ║0.027       ║
║watch0.in           ║Solver3     ║SAT       ║0.001       ║
║watch1.in           ║Solver2     ║SAT       ║0.017       ║
║watch1.in           ║Solver3     ║SAT       ║0.000       ║
╚════════════════════╩════════════╩══════════╩════════════╝

